month,state,permit,permit_recheck,handgun,long_gun,other,multiple,Year
2021-12,Alabama,27674.0,281.0,30428.0,26932.0,1875.0,1498,2021
2021-12,Alaska,41.0,29.0,3448.0,3216.0,481.0,220,2021
2021-12,Arizona,3106.0,485.0,25636.0,13507.0,2135.0,1363,2021
2021-12,Arkansas,2197.0,450.0,11633.0,11675.0,717.0,542,2021
2021-12,California,15528.0,11409.0,46627.0,31488.0,5894.0,0,2021
2021-12,Colorado,7671.0,5.0,24959.0,17729.0,2067.0,2006,2021
2021-12,Connecticut,8367.0,570.0,7023.0,2256.0,1063.0,0,2021
2021-12,Delaware,213.0,0.0,2936.0,2435.0,212.0,146,2021
2021-12,District of Columbia,750.0,0.0,478.0,8.0,0.0,3,2021
2021-12,Florida,20720.0,0.0,77064.0,36710.0,5904.0,3833,2021
2021-12,Georgia,20768.0,0.0,24587.0,18223.0,1131.0,1184,2021
2021-12,Guam,0.0,0.0,242.0,114.0,15.0,9,2021
2021-12,Hawaii,1458.0,1.0,0.0,0.0,0.0,0,2021
2021-12,Idaho,5183.0,0.0,9253.0,8389.0,808.0,470,2021
2021-12,Illinois,392738.0,0.0,29123.0,14315.0,1471.0,0,2021
2021-12,Indiana,1351.0,61533.0,29183.0,20059.0,2676.0,1381,2021
2021-12,Iowa,5688.0,6975.0,3190.0,4584.0,214.0,108,2021
2021-12,Kansas,2020.0,10.0,9137.0,8877.0,868.0,551,2021
2021-12,Kentucky,623.0,335789.0,18288.0,16090.0,866.0,874,2021
2021-12,Louisiana,2177.0,155.0,18564.0,16077.0,1224.0,944,2021
2021-12,Maine,431.0,2.0,5199.0,5353.0,497.0,317,2021
2021-12,Mariana Islands,0.0,0.0,19.0,14.0,4.0,4,2021
2021-12,Maryland,3783.0,24.0,8618.0,8842.0,148.0,10,2021
2021-12,Massachusetts,6924.0,0.0,6416.0,3795.0,1147.0,335,2021
2021-12,Michigan,15337.0,7818.0,27809.0,22240.0,2853.0,1068,2021
2021-12,Minnesota,13927.0,30026.0,12730.0,12495.0,1374.0,620,2021
2021-12,Mississippi,2085.0,0.0,15182.0,15343.0,790.0,660,2021
2021-12,Missouri,1447.0,0.0,28648.0,24331.0,2906.0,1595,2021
2021-12,Montana,810.0,0.0,5908.0,6586.0,392.0,310,2021
2021-12,Nebraska,4405.0,65.0,227.0,3307.0,38.0,10,2021
2021-12,Nevada,2852.0,0.0,6773.0,3338.0,491.0,452,2021
2021-12,New Hampshire,683.0,1.0,7862.0,4217.0,282.0,1,2021
2021-12,New Jersey,0.0,0.0,6835.0,5940.0,635.0,0,2021
2021-12,New Mexico,520.0,0.0,9303.0,6090.0,759.0,455,2021
